,BankNumber,difC,difA,Zero,sig-0,sig-1,sig-2,alpha,beta-0,beta-1,Scale
35,36,9313.098564124482,21.69769310085043,23.60350348254689,70.1296409223966,104.53236460707282,8.348485908230268,0.11992158262713874,0.010396805743003454,0.02733343429117924,True
36,37,8396.945913693811,20.319104188178255,25.28200344171561,74.16878513790368,204.81037355380127,15.016775011550388,0.08231519870604255,0.011891340501092697,0.03237074855536616,True
37,38,9440.500780090684,20.36950274269892,22.21134270974274,56.14433968863332,103.48610129870217,-3.0685211272109383,0.11535802362791693,0.009231253016187357,0.02990205251133424,True
38,39,8565.79118611899,24.587106555941006,27.022368348429648,77.07361660350328,185.80558517502627,22.438216967169613,0.10048964784675139,0.012511846700986304,0.028510873803388265,True
39,40,9438.049989095463,21.77754649984077,23.12562392558631,62.249115205332764,107.25970524245655,-0.5616026617616549,0.11415946744005566,0.009670028036045657,0.02852081545312728,True
40,41,8562.050052091567,25.973641438447668,28.394297139910215,89.3099838563857,186.09730955117877,25.915319954337804,0.10206479921645245,0.01253748935081962,0.02836838954872018,True
41,42,9942.267789095687,11.922727875731065,16.405683959506216,25.989569977125875,-12.247516057391355,14.452552801104233,0.15584992402491646,0.012870066121749233,0.03030871788332705,True
42,43,10128.019567672402,14.335676297366916,16.858041970562326,27.336018336661727,-28.18923672995354,18.312074170968152,0.18413717144754282,0.013627666138873928,0.031157366231612717,True
43,44,9897.452775553546,16.797640593967596,20.60601299974876,44.49231258223725,-17.875537500871964,30.14378115299011,0.1548473878269804,0.012849102324477115,0.024855579808186687,True
44,45,10079.108451157592,14.166678655587926,16.600795048682755,22.742987607392994,-12.572707210691352,10.106890344366953,0.24505340102509007,0.013360549978669024,0.031015007646181668,True
45,46,9826.31037289065,19.04101921697523,22.370083096834698,49.02891182438999,-49.07875102456084,38.16309653084996,0.08839633219708709,0.012939844743854149,0.02337611949616311,True
46,47,9984.538119299548,16.61730270411098,19.469573564143452,28.76019459421347,-25.308973477310996,14.905398328987953,0.1403496705057463,0.013437524954652925,0.025945932316605882,True
47,48,9973.9050827809,16.491855841568434,19.395768066702903,28.632642723170964,-33.738069388182595,18.325498403212634,0.18267592219755413,0.010864247330956311,0.02338164246180504,True
48,49,9795.531056167583,22.013895994901937,23.692104307695903,61.56651159338681,-64.94028026900772,51.68252611773363,0.1446162283882934,0.012580716559984323,0.01857344916924268,True
49,50,10068.619711973372,14.45089516069366,16.818359298531593,23.284444187287473,-16.626217018134216,13.15718783482767,0.25563875037146616,0.013822450126747913,0.03091728993749174,True
50,51,9878.450225021077,12.492546476958472,18.233141969189028,32.24554152521702,15.08206239829004,7.120362351270107,0.14646201316276647,0.012128619235305513,0.028077478893152662,True
51,52,10117.36118658413,13.724002939235506,16.464027705076504,26.33328575389687,-21.345321489247723,13.066353992396742,0.20104063666708807,0.013252010179583938,0.030415504311871285,True
52,53,9923.121320845852,7.217782798605538,13.073666679961914,16.241641396575115,45.00710872837484,-1.37436267003102,0.3545963424190814,0.011017797047030858,0.04404776368823832,True
53,54,9927.435606074965,16.010661381127626,19.158969903801832,45.512423040392584,-24.514959696210372,31.957499350337354,0.15038725663222197,0.012990505874295167,0.02455117015133627,True
54,55,10105.832457263155,14.483975335612495,15.696718690047003,25.37498303246991,-18.245956780573987,14.932792233497272,0.25207128839651777,0.014212807930929005,0.029479338305471336,True
55,56,10109.407389308713,12.789203842825518,16.14314624336623,26.17931667417239,-18.719682680317803,13.256736602358217,0.17069375077662222,0.012819444732049289,0.030175381987144045,True
56,57,9912.423616589916,10.286996273861705,15.412308996707651,24.27291400021862,-9.30671799768873,9.087082524828592,0.13813987737946903,0.01164503940727353,0.03175594945191126,True
57,58,10045.051912541907,14.232703206714385,15.616409668453642,25.911056403573376,-16.80970553799108,13.960427837792443,0.28029027467270456,0.013812573594242422,0.030163198879526468,True
58,59,9857.775700268028,15.039958996625643,18.60278817595753,46.98247128808943,-2.381484613794302,20.752039906795403,0.1517580296200847,0.012564545560541623,0.02481524051061777,True
59,60,9839.636579864737,18.82023030332816,20.48903276010486,58.013141188667575,-5.914040973396937,34.521365439489415,0.16768574609616324,0.012626828870101728,0.02259309955956803,True
60,61,10007.31834584078,14.91776684998163,16.216940355819727,29.06248931376591,-12.692313055668004,13.799148586687481,0.24279767435307253,0.01366233567264649,0.02977482373587002,True
61,62,9946.812382676864,12.867975031420935,15.200584537646977,29.724977790756594,-6.548850501616415,12.627018640178386,0.2495865615348223,0.013368233580508692,0.0297386468882399,True
62,63,9781.35593312493,14.968626089791403,17.96050812839545,47.73570710986095,4.583219011470083,26.056584997813783,0.1644318666043916,0.013153024093381708,0.025174964580511803,True
63,64,9775.331336731426,17.568063953522742,18.98884388357387,58.99740160451641,-10.155950654552566,34.62991322490461,0.17751370497406255,0.012535606863227144,0.024323884125771893,True
64,65,9923.831536414502,13.899254550751245,15.74823686013016,33.51841301542241,-12.070781856082434,16.059988414922355,0.22138784194355418,0.012527626424045946,0.030374477620058828,True
